,Perpetrator Sex,State,Relationship,Relationship Total
483,Female,Minnesota,Husband,46
484,Female,Minnesota,Son,26
485,Female,Minnesota,Unknown,23
486,Female,Minnesota,Stranger,17
487,Female,Minnesota,Family,14
488,Female,Minnesota,Friend,6
489,Female,Minnesota,Mother,5
490,Female,Minnesota,Brother,2
491,Female,Minnesota,Ex-Husband,2
492,Female,Minnesota,Neighbor,2
493,Female,Minnesota,Sister,2
494,Female,Minnesota,Stepfather,2
495,Female,Minnesota,Wife,2
496,Female,Minnesota,Boyfriend/Girlfriend,1
497,Female,Minnesota,Common-Law Husband,1
498,Female,Minnesota,Father,1
499,Female,Minnesota,Girlfriend,1
500,Female,Minnesota,Stepson,1
501,Female,Mississippi,Acquaintance,223
502,Female,Mississippi,Husband,199
503,Female,Mississippi,Boyfriend,198
504,Female,Mississippi,Unknown,43
505,Female,Mississippi,Son,36
506,Female,Mississippi,Stranger,33
507,Female,Mississippi,Common-Law Husband,27
508,Female,Mississippi,Daughter,20
509,Female,Mississippi,Family,18
510,Female,Mississippi,Brother,14
511,Female,Mississippi,Friend,12
512,Female,Mississippi,Neighbor,11
513,Female,Mississippi,Father,10
514,Female,Mississippi,Mother,10
515,Female,Mississippi,Ex-Husband,8
516,Female,Mississippi,Boyfriend/Girlfriend,6
517,Female,Mississippi,Stepfather,6
518,Female,Mississippi,In-Law,5
519,Female,Mississippi,Sister,5
520,Female,Mississippi,Stepson,3
521,Female,Mississippi,Employee,1
522,Female,Mississippi,Girlfriend,1
523,Female,Mississippi,Stepdaughter,1
524,Female,Mississippi,Stepmother,1
525,Female,Missouri,Acquaintance,227
526,Female,Missouri,Husband,188
527,Female,Missouri,Boyfriend,168
528,Female,Missouri,Unknown,126
529,Female,Missouri,Son,113
530,Female,Missouri,Daughter,106
531,Female,Missouri,Stranger,42
532,Female,Missouri,Common-Law Husband,23
533,Female,Missouri,Family,22
534,Female,Missouri,Mother,20
535,Female,Missouri,Friend,17
536,Female,Missouri,Ex-Husband,16
537,Female,Missouri,Neighbor,14
538,Female,Missouri,Sister,9
539,Female,Missouri,Brother,7
540,Female,Missouri,Father,7
541,Female,Missouri,Boyfriend/Girlfriend,5
542,Female,Missouri,In-Law,5
543,Female,Missouri,Stepdaughter,3
544,Female,Missouri,Stepfather,3
545,Female,Missouri,Employee,2
546,Female,Missouri,Employer,2
547,Female,Missouri,Girlfriend,2
548,Female,Missouri,Stepson,2
549,Female,Missouri,Stepmother,1
550,Female,Montana,Boyfriend,14
551,Female,Montana,Husband,14
552,Female,Montana,Son,12
553,Female,Montana,Acquaintance,11
554,Female,Montana,Unknown,8
555,Female,Montana,Daughter,5
556,Female,Montana,Friend,3
557,Female,Montana,Common-Law Husband,2
558,Female,Montana,Brother,1
559,Female,Montana,Ex-Husband,1
560,Female,Montana,Father,1
561,Female,Montana,In-Law,1
562,Female,Montana,Neighbor,1
563,Female,Montana,Sister,1
564,Female,Montana,Stepdaughter,1
565,Female,Montana,Stepson,1
566,Female,Montana,Stranger,1
567,Female,Nebraska,Daughter,32
568,Female,Nebraska,Acquaintance,24
569,Female,Nebraska,Husband,23
570,Female,Nebraska,Boyfriend,22
571,Female,Nebraska,Unknown,15
572,Female,Nebraska,Son,12
573,Female,Nebraska,Friend,9
574,Female,Nebraska,Stranger,5
575,Female,Nebraska,Brother,3
576,Female,Nebraska,Ex-Husband,3
577,Female,Nebraska,Family,3
578,Female,Nebraska,Boyfriend/Girlfriend,1
579,Female,Nebraska,Common-Law Husband,1
580,Female,Nebraska,Father,1
581,Female,Nebraska,Sister,1
582,Female,Nevada,Acquaintance,85
583,Female,Nevada,Husband,81
584,Female,Nevada,Boyfriend,62
585,Female,Nevada,Son,43
586,Female,Nevada,Daughter,40
587,Female,Nevada,Stranger,24
588,Female,Nevada,Unknown,23
589,Female,Nevada,Neighbor,12
590,Female,Nevada,Mother,7
591,Female,Nevada,Common-Law Husband,5
592,Female,Nevada,Family,5
593,Female,Nevada,Ex-Husband,4
594,Female,Nevada,Friend,4
595,Female,Nevada,Father,3
596,Female,Nevada,Brother,2
597,Female,Nevada,Stepdaughter,2
598,Female,Nevada,Stepfather,2
599,Female,Nevada,Employee,1
600,Female,Nevada,Girlfriend,1
601,Female,Nevada,In-Law,1
602,Female,Nevada,Sister,1
603,Female,Nevada,Stepmother,1
604,Female,Nevada,Stepson,1
605,Female,New Hampshire,Husband,17
606,Female,New Hampshire,Son,10
607,Female,New Hampshire,Daughter,7
608,Female,New Hampshire,Boyfriend,6
609,Female,New Hampshire,Acquaintance,4
610,Female,New Hampshire,Ex-Husband,2
611,Female,New Hampshire,Stranger,2
612,Female,New Hampshire,Unknown,2
613,Female,New Hampshire,Boyfriend/Girlfriend,1
614,Female,New Hampshire,Family,1
615,Female,New Hampshire,Friend,1
616,Female,New Hampshire,Girlfriend,1
617,Female,New Hampshire,In-Law,1
618,Female,New Hampshire,Mother,1
619,Female,New Hampshire,Neighbor,1
620,Female,New Hampshire,Wife,1
621,Female,New Jersey,Acquaintance,205
622,Female,New Jersey,Boyfriend,170
623,Female,New Jersey,Son,97
624,Female,New Jersey,Husband,95
625,Female,New Jersey,Daughter,90
626,Female,New Jersey,Stranger,57
627,Female,New Jersey,Unknown,43
628,Female,New Jersey,Friend,24
629,Female,New Jersey,Family,20
630,Female,New Jersey,Neighbor,18
631,Female,New Jersey,Mother,17
632,Female,New Jersey,Father,11
633,Female,New Jersey,Common-Law Husband,10
634,Female,New Jersey,Brother,9
635,Female,New Jersey,In-Law,7
636,Female,New Jersey,Sister,5
637,Female,New Jersey,Boyfriend/Girlfriend,4
638,Female,New Jersey,Stepdaughter,4
639,Female,New Jersey,Ex-Husband,2
640,Female,New Jersey,Stepfather,2
641,Female,New Jersey,Girlfriend,1
642,Female,New Jersey,Stepson,1
643,Female,New Mexico,Acquaintance,77
644,Female,New Mexico,Boyfriend,59
645,Female,New Mexico,Husband,53
646,Female,New Mexico,Stranger,37
647,Female,New Mexico,Daughter,29
648,Female,New Mexico,Son,28
649,Female,New Mexico,Unknown,16
650,Female,New Mexico,Family,14
651,Female,New Mexico,Friend,10
652,Female,New Mexico,Ex-Husband,5
653,Female,New Mexico,Common-Law Husband,4
654,Female,New Mexico,Mother,3
655,Female,New Mexico,Father,2
656,Female,New Mexico,Girlfriend,2
657,Female,New Mexico,In-Law,2
658,Female,New Mexico,Boyfriend/Girlfriend,1
659,Female,New Mexico,Brother,1
660,Female,New Mexico,Sister,1
661,Female,New Mexico,Wife,1
662,Female,New York,Unknown,388
