,Year,State,Year
,,,count
803,1995,Wyoming,12
804,1996,Alabama,430
805,1996,Alaska,41
806,1996,Arizona,390
807,1996,Arkansas,219
808,1996,California,3101
809,1996,Colorado,182
810,1996,Connecticut,166
811,1996,Delaware,33
812,1996,Florida,1426
813,1996,Georgia,644
814,1996,Hawaii,41
815,1996,Idaho,50
816,1996,Illinois,800
817,1996,Indiana,311
818,1996,Iowa,58
819,1996,Kentucky,224
820,1996,Louisiana,737
821,1996,Maine,26
822,1996,Maryland,598
823,1996,Massachusetts,161
824,1996,Michigan,720
825,1996,Minnesota,162
826,1996,Mississippi,190
827,1996,Missouri,407
828,1996,Nebraska,21
829,1996,Nevada,227
830,1996,New Hampshire,21
831,1996,New Jersey,352
832,1996,New Mexico,144
833,1996,New York,1355
834,1996,North Carolina,638
835,1996,North Dakota,11
836,1996,Ohio,496
837,1996,Oklahoma,235
838,1996,Oregon,139
839,1996,Pennsylvania,703
840,1996,Rhodes Island,25
841,1996,South Carolina,346
842,1996,South Dakota,6
843,1996,Tennessee,423
844,1996,Texas,1549
845,1996,Utah,67
846,1996,Vermont,16
847,1996,Virginia,508
848,1996,Washington,258
849,1996,West Virginia,69
850,1996,Wisconsin,225
851,1996,Wyoming,18
852,1997,Alabama,415
853,1997,Alaska,55
854,1997,Arizona,401
855,1997,Arkansas,255
856,1997,California,2773
857,1997,Colorado,175
858,1997,Connecticut,132
859,1997,Delaware,16
860,1997,District of Columbia,309
861,1997,Florida,1068
862,1997,Georgia,523
863,1997,Hawaii,48
864,1997,Idaho,43
865,1997,Illinois,763
866,1997,Indiana,394
867,1997,Iowa,43
868,1997,Kentucky,221
869,1997,Louisiana,675
870,1997,Maine,22
871,1997,Maryland,522
872,1997,Massachusetts,126
873,1997,Michigan,746
874,1997,Minnesota,127
875,1997,Mississippi,193
876,1997,Missouri,402
877,1997,Montana,16
878,1997,Nebraska,22
879,1997,Nevada,196
880,1997,New Jersey,358
881,1997,New Mexico,114
882,1997,New York,1113
883,1997,North Carolina,647
884,1997,North Dakota,7
885,1997,Ohio,380
886,1997,Oklahoma,249
887,1997,Oregon,113
888,1997,Pennsylvania,739
889,1997,Rhodes Island,27
890,1997,South Carolina,324
891,1997,South Dakota,5
892,1997,Tennessee,439
893,1997,Texas,1428
894,1997,Utah,75
895,1997,Vermont,9
896,1997,Virginia,508
897,1997,Washington,250
898,1997,West Virginia,85
899,1997,Wisconsin,225
900,1997,Wyoming,18
901,1998,Alabama,343
902,1998,Alaska,42
903,1998,Arizona,396
904,1998,Arkansas,209
905,1998,California,2353
906,1998,Colorado,195
907,1998,Connecticut,144
908,1998,Delaware,24
909,1998,Florida,1086
910,1998,Georgia,531
911,1998,Hawaii,27
912,1998,Idaho,36
913,1998,Illinois,738
914,1998,Indiana,408
915,1998,Iowa,49
916,1998,Kentucky,124
917,1998,Louisiana,567
918,1998,Maine,27
919,1998,Maryland,528
920,1998,Massachusetts,123
921,1998,Michigan,727
922,1998,Minnesota,117
923,1998,Mississippi,185
924,1998,Missouri,387
925,1998,Montana,11
926,1998,Nebraska,25
927,1998,Nevada,184
928,1998,New Hampshire,16
929,1998,New Jersey,334
930,1998,New Mexico,157
931,1998,New York,931
932,1998,North Carolina,633
933,1998,North Dakota,7
934,1998,Ohio,377
935,1998,Oklahoma,215
936,1998,Oregon,140
937,1998,Pennsylvania,628
938,1998,Rhodes Island,25
939,1998,South Carolina,310
940,1998,South Dakota,6
941,1998,Tennessee,436
942,1998,Texas,1448
943,1998,Utah,66
944,1998,Vermont,12
945,1998,Virginia,421
946,1998,Washington,215
947,1998,West Virginia,81
948,1998,Wyoming,17
949,1999,Alabama,15
950,1999,Alaska,56
951,1999,Arizona,424
952,1999,Arkansas,151
953,1999,California,2132
954,1999,Colorado,201
955,1999,Connecticut,117
956,1999,Delaware,25
957,1999,Florida,916
958,1999,Georgia,527
959,1999,Hawaii,43
960,1999,Idaho,26
961,1999,Illinois,665
962,1999,Indiana,335
963,1999,Iowa,52
964,1999,Kentucky,84
965,1999,Louisiana,482
966,1999,Maine,26
967,1999,Maryland,442
968,1999,Massachusetts,119
969,1999,Michigan,737
970,1999,Minnesota,131
971,1999,Mississippi,151
972,1999,Missouri,341
973,1999,Montana,11
974,1999,Nebraska,26
975,1999,Nevada,174
976,1999,New Hampshire,20
977,1999,New Jersey,296
978,1999,New Mexico,147
979,1999,New York,925
980,1999,North Carolina,575
981,1999,North Dakota,7
982,1999,Ohio,372
983,1999,Oklahoma,254
984,1999,Oregon,95
985,1999,Pennsylvania,596
986,1999,Rhodes Island,36
987,1999,South Carolina,278
988,1999,South Dakota,14
989,1999,Tennessee,411
990,1999,Texas,1268
991,1999,Utah,58
992,1999,Vermont,20
993,1999,Virginia,376
994,1999,Washington,182
995,1999,West Virginia,69
996,1999,Wisconsin,200
997,1999,Wyoming,13
998,2000,Alabama,235
999,2000,Alaska,35
1000,2000,Arizona,385
1001,2000,Arkansas,163
1002,2000,California,2219
1003,2000,Colorado,134
1004,2000,Connecticut,100
1005,2000,Delaware,27
1006,2000,Florida,815
1007,2000,Georgia,508
1008,2000,Hawaii,35
1009,2000,Idaho,17
1010,2000,Illinois,647
1011,2000,Indiana,308
1012,2000,Iowa,52
